"Participant_ID","Progress","Duration_Seconds","Finished","Age","Uni","Full_Part","PTY","PTY_Other","Course_Duration","Current_Year","Course_Name","Gender","Perception_1","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","crisis_aware","crisis_learnt","understanding_crisis","os_explain","os_learnt","applicability","comments","include","exclude","UKRN","timepoint","ID","crisis_explain","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","Perception_Completed","Awareness_Completed","Experience_Completed","Knowledge_Completed","crisis_aware_Completed","crisis_learnt_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed","crisis_explain_Completed"
"AB1359","100",1176,"TRUE","19","UNI06","Full-time","Yes","","4","Year 1","Psychology and Marketing ","Male",-1,1,1,-1,2,0,1,1,1,-1,2,0,1,-1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,-1,1,-1,-1,1,1,1,1,0,"many modern studies cannot be reproduced - methodological crisis ",1,0,1,"",1,0,"Non-UKRN",2,559,0,8,0.5,2,0.25,5,3,1,1,1,1,1,1,1,1,1,1
"AB4112","100",871,"TRUE","20","UNI06","Full-time","Yes","","4","Year 2","Bsc Psychology","Female",1,1,0,1,1,1,1,1,1,0,1,1,0,-1,-1,-1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,1,1,0,-1,0,1,1,0,NA,"",0,0,1,"",1,0,"Non-UKRN",2,586,NA,7,0.4375,2,0.25,3,0,1,1,1,1,1,0,1,1,1,1
"ab7768","100",766,"TRUE","20","UNI73","Full-time","No","","3","Final Year","Psychology BSc","female",1,2,1,1,2,1,1,1,-1,-1,1,2,1,1,-2,-1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,2,2,1,-1,-1,2,1,1,1,"classic (psychology) studies have been replicated more recently and the findings/results are not the same as the original publications",1,1,1,"",1,0,"Non-UKRN",2,248,1,10,0.625,7,0.875,8,4,1,1,1,1,1,1,1,1,1,1
"AC1185","100",1666,"TRUE","20","UKRN01","Full-time","Yes","","4","Year 2","Psychology","Female",2,1,0,-1,0,0,1,1,1,1,2,2,-1,-1,-1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,-1,-1,0,1,0,NA,"",1,0,1,"",1,0,"UKRN",2,212,NA,7,0.4375,3,0.375,5,3,1,1,1,1,1,0,1,1,1,1
"AC1901","100",9162,"TRUE","21","UNI09","Full-time","No","","3","Final Year","Psychology","Male",2,2,0,1,2,1,1,1,1,0,1,1,0,1,1,-2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1,1,1,1,-1,0,1,1,0,NA,"",0,0,1,"",1,0,"Non-UKRN",2,210,NA,13,0.8125,3,0.375,1,1,1,1,1,1,1,0,1,1,1,1
"ac2844","100",934,"TRUE","20","UKRN08","Full-time","No","","3","Year 2","Psychology","Female",1,2,0,0,2,2,2,2,1,0,1,2,1,0,-1,-1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,2,1,-1,-1,1,1,1,1,"The replication crisis refers to the difficulty researchers face that studies can not be reproduced and replicated. This also means the results of studies are not replicable.",0,0,1,"",1,0,"UKRN",2,78,1,14,0.875,4,0.5,6,1,1,1,1,1,1,1,1,1,1,1
"AC6920","100",1037,"TRUE","19","UNI58","Full-time","No","","4","Year 1","Psychology Bsc. (Hons) with Study Abroad Year","Female",2,2,0,2,2,2,2,2,1,0,-1,2,2,-2,-1,-1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,2,2,1,1,-1,-1,1,2,1,0,"I think it is the fact, that when studies in psychology get replicated they barely get the same results",0,0,1,"",1,0,"Non-UKRN",2,388,1,14,0.875,7,0.875,4,2,1,1,1,1,1,1,1,1,1,1
"AD1234","100",1160,"TRUE","20","UKRN01","Full-time","No","","3","Year 2","Psychology","Female",1,1,1,1,0,-1,1,1,1,-1,1,2,0,2,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,2,1,0,-1,0,-1,1,0,1,1,"The replication crisis is a methodological crisis where it was found that many scientific studies were impossible or very difficult to replicate or reproduce, making the results questionable. ",0,0,1,"",1,0,"UKRN",2,85,1,10,0.625,2,0.25,5,3,1,1,1,1,1,1,1,1,1,1
"AD9836","98",859,"FALSE","18","UNI50","Full-time","No","","3","Year 1","Psychology","Female",1,1,0,1,0,1,1,1,1,0,1,1,1,1,-1,-1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,-1,-1,0,0,1,1,1,"Researchers having the ability to replicate a study and having the physical/material capability to do such (materials, access etc).",0,0,0,"",1,0,"Non-UKRN",2,421,0,9,0.5625,2,0.25,7,5,1,1,1,1,1,1,1,1,1,1
"AE0820","100",1437,"TRUE","21","UNI11","Full-time","No","","3","Final Year","Psychology","Female",1,2,1,1,2,2,1,2,1,1,1,1,-1,1,-1,2,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,-1,1,-1,1,1,2,1,0,NA,"",0,0,1,"I think it’s important that students should have access to research freely to ensure they have the best, up-to-date information to gain their qualifications ",1,0,"Non-UKRN",2,688,NA,17,1.0625,5,0.625,4,4,1,1,1,1,1,0,1,1,1,1
