"ID","Progress","Uni","PTY","Current_Year","Course_Duration","Course_Name","Gender","Age","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Experience_Replication","Experience_Materials","Experience_Education","Experience_Access","Experience_Data","Experience_Power","Experience_Preregistration","Experience_Preprint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","comments"
606,"100","UNI19","No","Year 1","3","BSc Psychology","Female","20","Non-UKRN",2,2,1,1,-1,0,1,0,-1,-1,1,1,1,-1,0,0,-1,1,1,1,0,-1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0.1875,5,0.625,4,0,0,NA,NA,0,0,1,""
571,"100","UNI06","Yes","Year 1","4","Psychology and Sociology","Female","19","Non-UKRN",2,1,1,1,1,1,1,2,2,2,1,2,2,0,0,-1,-1,1,1,0,-1,-1,0,1,-1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,15,0.9375,0,0,7,4,1,1,0,0,1,1,""
516,"100","UNI06","Yes","Year 2","4","Psychology","Female","19","Non-UKRN",2,2,0,0,1,0,0,0,2,1,0,1,0,2,0,2,0,0,1,0,1,-1,-2,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,11,0.6875,1,0.125,6,4,1,0,0,0,0,0,"no"
92,"100","UKRN01","Yes","Year 2","4","Psychology ","Female ","20","UKRN",2,2,1,1,1,0,0,1,1,1,-2,1,1,0,1,-1,-2,1,1,1,0,-2,-1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,6,0.375,1,0.125,6,2,0,NA,NA,1,0,1,""
599,"100","UNI06","Yes","Year 2","4","Psychology","Female","19","Non-UKRN",2,2,1,0,1,0,0,0,0,2,0,1,1,1,-1,-1,0,1,1,0,0,-1,-1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,7,0.4375,1,0.125,4,4,0,NA,NA,1,0,0,""
285,"100","UNI50","Other (Please specify)","Year 1","3","Psychology ","Female ","18","Non-UKRN",2,2,1,1,-1,2,2,2,2,2,-2,1,1,1,-1,0,0,1,0,1,0,-2,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,13,0.8125,1,0.125,4,4,0,NA,NA,0,0,1,""
353,"100","UKRN04","No","Final Year","3","psychology and criminology","male","21","UKRN",2,2,2,0,-1,2,2,2,2,1,-2,-2,2,0,-2,-2,0,2,2,2,-2,-1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0.375,4,0.5,1,1,0,NA,NA,0,0,1,""
294,"100","UNI50","No","Year 1","3","BSc Psychology ","Female","19","Non-UKRN",2,2,2,0,1,1,2,2,1,2,-2,1,2,2,1,-1,-2,1,1,2,-2,-1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,14,0.875,4,0.5,4,4,0,NA,NA,1,0,1,""
12,"100","UNI06","Yes","Year 2","4","psychology ","female","19","Non-UKRN",2,1,0,0,1,1,1,1,0,0,0,1,1,-1,1,0,0,1,-1,1,0,-1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,7,0.4375,2,0.25,6,4,0,NA,NA,1,0,1,""
63,"100","UKRN01","Yes","Placement Year","4","Psychology BSc","female","21","UKRN",2,0,1,0,1,1,1,1,1,2,0,1,2,1,2,-2,-1,2,2,1,-1,1,0,2,2,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,11,0.6875,9,1.125,7,2,1,1,0,1,1,1,""
268,"100","UNI72","No","Year 1","3","Psychology","Nonbinary","21","Non-UKRN",2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-2,-2,1,1,2,2,-1,-1,1,2,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,21,1.3125,7,0.875,4,2,0,NA,NA,0,0,1,""
178,"100","UNI06","Yes","Placement Year","3","BSc Psychology ","Female","22","Non-UKRN",2,2,1,-1,2,1,1,-1,-1,1,1,-1,2,2,-1,0,1,1,1,0,1,1,-1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,9,0.5625,4,0.5,7,3,1,0,0,0,0,0,"We do not get taught much about how research works/is produced as undergraduates. I don’t know the common code of practice for publishing and sharing experiments"
331,"100","UNI10","Yes","Placement Year","4","BSc hons Psychology with Placement Year","Female","25","Non-UKRN",2,2,2,1,1,2,1,-1,-1,1,1,1,2,0,2,-1,-1,1,2,-2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,12,0.75,7,0.875,1,5,1,0,0,0,0,1,""
690,"100","UNI79","No","Year 1","3","Psychology ","Female","19","Non-UKRN",2,0,1,0,1,0,0,2,1,2,-2,1,2,1,0,1,-1,0,0,1,1,2,2,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,9,0.5625,7,0.875,5,3,0,NA,NA,0,0,1,""
104,"100","UKRN08","No","Year 2","3","Psychology","female","23","UKRN",2,1,1,0,1,-1,0,1,1,0,1,1,2,2,-1,0,2,1,1,-1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,11,0.6875,2,0.25,5,3,1,1,0,0,0,0,""
673,"100","UNI80","No","Final Year","3","Psychology ","Female ","21","Non-UKRN",2,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,6,0.375,6,0.75,3,2,1,1,NA,0,1,1,""
499,"100","UNI19","No","Year 1","3","Psychology","Male","18","Non-UKRN",2,1,2,0,1,1,0,1,1,1,1,2,2,2,-1,0,-1,2,1,0,0,-2,1,2,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,13,0.8125,5,0.625,3,5,1,1,1,0,0,1,"No"
687,"100","UNI11","No","Final Year","3","Psychology","Female","20","Non-UKRN",2,2,1,1,1,1,1,1,-1,0,0,2,2,1,1,-1,1,2,0,2,2,-2,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,13,0.8125,9,1.125,8,0,1,0,0,0,0,1,""
270,"100","UNI06","Yes","Year 1","4","Psychology and business ","Female ","18","Non-UKRN",2,2,2,1,1,1,1,2,2,1,1,1,2,1,0,0,-2,2,1,1,1,-1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,16,1,6,0.75,4,2,1,1,0,0,1,1,""
470,"100","UNI75","No","Final Year","3","Applied Psychology and Counselling. ","Female ","49","Non-UKRN",2,1,1,-1,-1,0,-1,1,1,-1,-2,1,1,-1,1,-1,0,-1,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,-1,-0.0625,-2,-0.25,1,5,1,1,0,0,0,1,"Research methods is hard and takes continual learning and keeping up to date. "
581,"100","UNI06","Yes","Year 1","4","BSc Psychology and Maketing","Female","19","Non-UKRN",2,-2,2,2,2,1,1,1,1,2,1,2,2,2,2,-1,-2,2,2,2,2,-2,1,2,-2,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,16,1,7,0.875,6,2,1,1,0,1,1,1,""
286,"100","UNI50","No","Year 2","3","Psychology with clinical psychology","Female","20","Non-UKRN",2,1,1,0,0,1,1,1,1,1,-1,0,0,1,-1,1,-2,1,1,1,-1,-1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,5,0.3125,3,0.375,4,3,0,NA,NA,0,0,0,""
642,"100","UNI79","No","Year 1","3","Addiction Psychology","male","23","Non-UKRN",2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,16,1,16,2,5,3,0,NA,NA,1,0,1,""
180,"100","UKRN08","Yes","Year 1","4","BSc (Honours) Psychology","female","21","UKRN",2,2,1,0,1,1,0,0,0,-1,-1,2,2,1,-1,0,-1,1,0,1,-1,-1,-1,2,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,6,0.375,1,0.125,3,3,1,1,0,0,1,1,""
