"ID","Progress","Duration_Seconds","Finished","Uni","Full_Part","PTY","PTY_Other","Course_Duration","Current_Year","Course_Duration_Other","Current_Year_Other","Course_Name","Previous_Training","Gender","Perception_1","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","crisis_aware","crisis_learnt","understanding_crisis","os_explain","os_learnt","applicability","comments","long_desc","crisis_explain","include","UKRN","timepoint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","Perception_Completed","Awareness_Completed","Experience_Completed","Knowledge_Completed","crisis_aware_Completed","crisis_learnt_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed","crisis_explain_Completed"
121,"100",1995,"1","UKRN09","","","","","Year 2","","","","","2",2,2,2,2,2,2,2,2,2,1,0,2,2,2,-1,-2,1,1,1,1,1,NA,NA,1,1,0,0,0,0,0,0,1,2,2,2,2,-2,-1,1,0,1,1,"part of psychology being taken seriously comes from its reliability and replicability in its results, much past research does not meet the criteria for being replicable and undermines the research validity",1,1,1,"","part of psychology being taken seriously comes from its reliability and replicability in its results, much past research does not meet the criteria for being replicable and undermines the research validity",1,1,"UKRN",3,22,1.375,6,0.75,NA,2,1,0,1,1,1,1,1,1,1,1
122,"100",3523,"1","UKRN09","","","","","Year 2","","","","","2",2,1,2,1,2,2,0,0,1,1,1,0,1,0,-2,-2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,-1,-2,-1,0,1,1,0,"the inability to reproduce the findings of studies, which implies the results might be wrong",0,1,1,"","the inability to reproduce the findings of studies, which implies the results might be wrong",1,1,"UKRN",3,10,0.625,-1,-0.125,8,4,1,1,1,1,1,1,1,1,1,1
123,"100",4162,"1","UKRN09","","","","","Year 2","","","","","2",1,2,1,1,1,1,1,1,1,1,1,2,0,1,-1,-1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,2,1,-1,-1,-2,-1,-1,1,1,1,"Studies conducted by researchers that are very difficult to replicate or reproduce similar findings.",1,1,1,"","Studies conducted by researchers that are very difficult to replicate or reproduce similar findings.",0,1,"UKRN",3,13,0.8125,-2,-0.25,8,4,1,1,1,1,1,1,1,1,1,1
124,"100",2551,"1","UKRN09","","","","","Year 2","","","","","2",1,1,1,1,1,1,2,2,1,-1,2,1,0,1,-2,-2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,2,0,-2,-1,1,1,1,1,"when studies are replicated and the same/similar results are not produced",1,1,1,"","when studies are replicated and the same/similar results are not produced",1,1,"UKRN",3,10,0.625,3,0.375,8,4,1,1,1,1,1,1,1,1,1,1
125,"100",3367,"1","UKRN09","","","","","Year 2","","","","","2",1,1,-2,0,1,1,2,1,1,0,1,1,1,-1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,2,0,2,1,0,2,0,0,1,1,"Journels focus on findings that will attract attention and thus positive findings leads to Publication Bias = that significant results have a better chance of being published/ published earlier & w/ more prestige when they‚Äôre 'attractive positive results'",0,0,1,"","Journels focus on findings that will attract attention and thus positive findings leads to Publication Bias = that significant results have a better chance of being published/ published earlier & w/ more prestige when theyâ€šÃ„Ã´re 'attractive positive results'",1,1,"UKRN",3,8,0.5,7,0.875,8,2,1,1,1,1,1,1,1,1,1,1
126,"100",12391,"1","UKRN09","","","","","Year 1","","","","","2",2,1,1,1,1,1,1,1,1,1,0,2,1,1,-1,-1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,-1,-1,-1,1,1,1,"When they found that almost all of the academic journals and their findings were not replicable when it was repeated thus making it unreliable, and making science (social sciences, especially) and academic journal companies that allowed the journals to be posted lose credibility.",1,1,1,"","When they found that almost all of the academic journals and their findings were not replicable when it was repeated thus making it unreliable, and making science (social sciences, especially) and academic journal companies that allowed the journals to be posted lose credibility.",1,1,"UKRN",3,13,0.8125,2,0.25,8,1,1,1,1,1,1,1,1,1,1,1
127,"100",1492,"1","UKRN09","","","","","Year 2","","","","","2",2,2,-1,1,1,1,1,0,0,1,2,2,0,1,-1,-2,1,NA,1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,-1,-2,-1,-1,0,0,1,1,0,0,"",1,1,1,"","",NA,1,"UKRN",3,10,0.625,-3,-0.375,NA,0,1,0,1,1,1,1,1,1,1,0
128,"100",2536,"1","UKRN09","","","","","Year 2","","","","","2",1,1,2,1,1,0,1,-1,1,-1,1,2,1,2,-1,-1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,2,1,0,-1,-1,-1,1,1,1,1,"The results from studies are not able to be reproduced so are seen to be wrong ",0,1,1,"","The results from studies are not able to be reproduced so are seen to be wrong ",1,1,"UKRN",3,10,0.625,2,0.25,8,2,1,1,1,1,1,1,1,1,1,1
129,"100",1315,"1","UKRN09","","","","","Year 2","","","","","2",2,1,1,0,1,0,-1,-1,0,0,2,1,0,-2,0,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,1,-1,-1,0,0,1,0,0,"",1,0,0,"","",NA,1,"UKRN",3,3,0.1875,2,0.25,8,0,1,1,1,1,1,1,1,1,1,0
130,"100",1000,"1","UKRN09","","","","","Year 1","","","","","2",-1,-1,1,1,2,1,2,2,2,1,1,1,1,-1,0,-1,1,NA,1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,2,1,2,1,-1,1,1,1,0,0,"",1,0,1,"","",NA,1,"UKRN",3,11,0.6875,8,1,NA,1,1,0,1,1,1,1,1,1,1,0
