"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
71,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
72,"UKRN09","","","Year 1","","","","2","UKRN",3,1,0,1,0,0,0,0,0,2,0,0,NA,0,0,1
73,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,1,1,1
74,"UKRN09","","","Year 1","","","","2","UKRN",3,1,0,1,0,0,1,0,1,4,1,0,0,0,0,1
75,"UKRN09","","","Year 1","","","","3","UKRN",3,1,0,1,0,0,1,0,1,4,0,0,NA,1,1,1
76,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
78,"UKRN09","","","Year 1","","","","2","UKRN",3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1
79,"UKRN09","","","Year 2","","","","1","UKRN",3,1,1,1,0,0,1,0,1,5,0,0,NA,0,0,1
82,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
83,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,0,0,0,1
84,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,0,1,7,1,0,1,0,0,1
85,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,0,1,1,0,1
90,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,0,1,1,1,1,7,0,0,NA,0,0,1
91,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
92,"UKRN09","","","Year 2","","","","1","UKRN",3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1
93,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
94,"UKRN09","","","Year 1","","","","2","UKRN",3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
95,"UKRN09","","","Year 1","","","","1","UKRN",3,1,1,1,1,1,1,0,1,7,0,0,NA,0,0,1
96,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,0,1,0,1,6,1,1,0,0,1,1
97,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,1,1
