"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Knowledge_Score_Total","Knowledge_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Knowledge_Completed"
"96",101,"UKRN01","Full-time","No","Year 2","3","Psychology BSc","Yes","Male","UKRN",1,3,3,1,0,0,3,4,3,17,17,1,1,1,0,0,1
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",104,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,3,2,3,1,1,2,3,3,18,18,1,1,0,0,0,1
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",107,"UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Female","UKRN",1,3,3,4,3,2,2,3,3,23,23,1,1,1,1,1,1
"103",108,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female ","UKRN",1,4,4,3,1,1,3,1,3,20,20,1,1,1,0,0,1
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",110,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,3,2,2,1,1,2,4,3,18,18,1,1,1,0,0,1
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",112,"UKRN01","Full-time","Yes","Year 2","4","Psychology ","Yes","Female","UKRN",1,1,3,3,3,1,0,4,3,18,18,1,1,1,0,1,1
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
