"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Knowledge_Score_Total","Knowledge_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Knowledge_Completed"
"155",161,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","female","UKRN",1,1,4,3,1,1,1,4,4,19,19,1,0,1,0,0,1
"156",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",163,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","Female","UKRN",1,3,3,1,1,1,3,3,3,18,18,1,0,1,0,0,1
"158",164,"UKRN01","Full-time","Yes","Year 2","4","Psychology (BSc)","Yes","Female","UKRN",1,3,1,2,2,2,2,3,2,17,17,1,1,1,0,0,1
"159",165,"UKRN01","Full-time","Yes","Year 1","4","Psychology Bsc","Yes","Female","UKRN",1,4,4,3,0,2,3,4,3,23,23,1,1,1,0,0,1
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",168,"UKRN01","Full-time","Yes","Year 1","3","Bsc Psychology","No","Female","UKRN",1,2,3,2,1,2,1,3,3,17,17,1,0,1,0,0,1
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",171,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female","UKRN",1,3,3,3,1,1,1,3,3,18,18,1,0,1,0,0,1
"166",172,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","female","UKRN",1,4,4,4,2,1,3,3,3,24,24,1,1,1,0,0,1
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",174,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Male","UKRN",1,3,1,3,1,1,3,3,1,16,16,1,1,1,0,0,1
"169",175,"UKRN01","Full-time","Yes","Year 1","3","Psychology BSc","Yes","Female","UKRN",1,3,3,1,0,0,3,2,2,14,14,1,1,1,1,1,1
"170",176,"UKRN01","Full-time","Yes","Placement Year","4","psychology Bsc","Yes","female","UKRN",1,4,4,4,4,2,2,4,2,26,26,1,1,1,1,1,1
"171",177,"UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Male","UKRN",1,1,1,3,1,0,3,2,4,15,15,1,1,1,1,1,1
"172",178,"UKRN01","Full-time","Yes","Year 2","3","BSc Psychology","Yes","Female","UKRN",1,4,4,4,1,0,2,4,2,21,21,1,1,0,1,1,1
"173",179,"UKRN01","Full-time","Yes","Year 2","3","Psychology","No","Female","UKRN",1,0,3,0,2,1,3,3,2,14,14,1,1,1,1,0,1
"174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",181,"UKRN01","Full-time","No","Year 2","3","Psychology ","Yes","Female","UKRN",1,3,3,3,2,1,1,3,3,19,19,1,1,0,0,1,1
"176",182,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,2,0,0,0,1,3,2,9,9,1,0,1,0,0,1
"177",183,"UKRN01","Full-time","Yes","Year 1","4","BCs psychology ","No","female","UKRN",1,4,1,3,0,1,3,1,1,14,14,1,0,0,1,0,1
"178",184,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,3,3,4,2,1,2,2,3,20,20,1,1,1,1,1,1
"179",185,"UKRN01","Full-time","Yes","Year 2","3","Psychology","Yes","female","UKRN",1,3,3,3,1,1,3,3,3,20,20,1,1,1,0,0,1
"180",186,"UKRN01","Full-time","Yes","Year 1","4","Psychology (BSc)","Yes","Male","UKRN",1,4,4,3,2,0,1,3,4,21,21,1,1,0,0,0,1
"181",187,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","female","UKRN",1,3,1,3,0,1,3,3,3,17,17,1,0,1,0,0,1
"182",188,"UKRN01","Full-time","No","Year 1","3","BSc Psychology","Yes","Female","UKRN",1,4,3,4,1,2,1,2,2,19,19,1,0,0,0,0,1
"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",192,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Female","UKRN",1,4,3,4,2,1,2,3,3,22,22,1,1,1,0,0,1
"187",193,"UKRN01","Full-time","Yes","Placement Year","4","Psychology BSc","No","female","UKRN",1,3,3,3,1,1,1,3,3,18,18,1,1,1,0,0,1
"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",195,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,3,3,3,3,2,2,3,3,22,22,1,0,0,0,0,1
"190",196,"UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology","Yes","Female","UKRN",1,4,3,3,1,1,1,3,3,19,19,1,1,1,0,0,1
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",199,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","female","UKRN",1,3,3,2,1,1,1,2,3,16,16,1,1,1,0,0,1
"194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",201,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Male","UKRN",1,3,4,4,4,3,3,3,4,28,28,1,1,1,1,1,1
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",203,"UKRN01","Full-time","No","Year 1","3","Psychology Bsc","Yes","Female","UKRN",1,1,4,2,0,1,1,3,3,15,15,1,1,0,0,0,1
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",205,"UKRN01","Full-time","Yes","Year 1","4","Psychology Bsc","Yes","Female ","UKRN",1,3,2,2,1,0,3,2,2,15,15,1,0,0,1,0,1
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",208,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,3,3,3,0,0,0,3,3,15,15,1,1,1,0,0,1
"203",209,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Male","UKRN",1,4,3,1,3,4,1,3,1,20,20,1,1,1,0,0,1
"204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",211,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,1,3,3,2,3,3,3,2,20,20,1,1,1,0,1,1
"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",218,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Female","UKRN",1,4,3,3,1,0,3,3,3,20,20,1,1,1,0,1,1
"213",219,"UKRN01","Full-time","Yes","Year 2","4","Psychology ","Yes","Female","UKRN",1,3,3,3,1,0,3,3,3,19,19,1,1,0,0,0,1
"214",220,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology ","Yes","Female","UKRN",1,3,3,3,1,1,3,2,3,19,19,1,0,0,0,0,1
"215",221,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","female","UKRN",1,4,4,3,1,2,3,2,2,21,21,1,1,1,0,0,1
"216",222,"UKRN01","Full-time","Yes","Placement Year","3","Psychology","Yes","Female","UKRN",1,3,3,2,1,1,2,3,3,18,18,1,1,1,0,0,1
"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",230,"UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology","Yes","Female","UKRN",1,3,3,3,2,1,3,3,1,19,19,1,1,1,0,0,1
"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",233,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","female","UKRN",1,3,3,3,2,2,3,3,3,22,22,1,1,1,0,0,1
"228",234,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,3,3,1,1,2,3,3,3,19,19,1,1,0,0,0,1
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",236,"UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Female","UKRN",1,3,3,4,0,1,2,3,2,18,18,1,0,0,1,0,1
"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",238,"UKRN01","Full-time","Yes","Year 2","4","Psychology ","No","Female","UKRN",1,4,4,4,4,2,4,4,4,30,30,1,1,1,1,1,1
"233",239,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Male","UKRN",1,4,4,4,4,3,4,4,4,31,31,1,1,1,1,1,1
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",242,"UKRN01","Full-time","Yes","Year 2","3","psychology Bsc","No","female","UKRN",1,3,3,3,1,2,3,3,3,21,21,1,0,0,0,0,1
"237",243,"UKRN01","Full-time","No","Year 1","3","Psychology BSc","No","Female","UKRN",1,4,3,4,0,0,1,4,3,19,19,1,0,1,0,0,1
"238",244,"UKRN01","Full-time","Yes","Placement Year","4","Psychology BSc","Yes","Female","UKRN",1,3,2,3,3,2,3,3,3,22,22,1,0,1,0,0,1
"239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",247,"UKRN01","Full-time","Yes","Placement Year","4","Bsc Psychology","No","Male","UKRN",1,4,3,3,4,3,3,3,3,26,26,1,1,0,1,1,1
"242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",249,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Male","UKRN",1,4,4,4,1,1,0,3,4,21,21,1,0,1,0,0,1
"244",250,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,4,4,3,0,1,3,1,3,19,19,1,0,0,1,0,1
"245",251,"UKRN01","Full-time","Yes","Final Year","4","Psychology BSc","Yes","Female","UKRN",1,4,3,4,2,3,3,2,3,24,24,1,1,1,0,0,1
"246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",258,"UKRN01","Full-time","No","Year 2","2","Psychology BSc","Yes","Female","UKRN",1,4,2,2,1,0,3,4,3,19,19,1,1,1,0,1,1
"253",259,"UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Female","UKRN",1,4,3,1,1,1,3,3,3,19,19,1,1,1,0,0,1
"254",260,"UKRN01","Full-time","Yes","Placement Year","4","Psychology BSc","Yes","Female","UKRN",1,3,3,2,0,1,2,4,2,17,17,1,1,1,0,0,1
"255",261,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","female","UKRN",1,3,2,3,1,1,3,1,3,17,17,1,0,0,0,0,1
"256",262,"UKRN01","Full-time","No","Year 2","3","psychology","Yes","female","UKRN",1,4,4,3,4,1,1,3,2,22,22,1,1,0,1,1,1
"257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",266,"UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology with placement year","Yes","female","UKRN",1,1,1,3,1,4,1,1,2,14,14,1,1,0,0,0,1
"261",267,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,3,1,3,2,1,3,2,3,18,18,1,0,1,0,0,1
"262",268,"UKRN01","Full-time","Yes","Year 2","4","Bsc Psychology","Yes","female","UKRN",1,4,3,3,0,1,1,3,2,17,17,1,1,1,1,1,1
"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",274,"UKRN01","Full-time","No","Year 2","3","Undergraduate Psychology","No","Female","UKRN",1,2,2,4,2,2,2,3,2,19,19,1,1,1,1,1,1
"269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",278,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,4,3,3,1,0,3,4,2,20,20,1,0,1,0,0,1
"273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",282,"UKRN06","Full-time","No","Year 2","3","BSc Psychology ","Yes","Female ","UKRN",1,3,4,4,2,1,3,4,3,24,24,1,1,1,1,1,1
"277",283,"UKRN06","Full-time","No","Year 1","3","Psychology","No","Female","UKRN",1,4,4,3,3,1,3,3,4,25,25,1,1,1,1,1,1
"278",284,"UKRN06","Full-time","No","Year 2","3","Psychology BSc","Yes","Female","UKRN",1,3,1,3,1,0,3,2,2,15,15,1,1,1,0,0,1
"279",285,"UKRN06","Full-time","Yes","Placement Year","3","BSc Experimental Psychology","Yes","f","UKRN",1,3,4,3,4,3,1,4,3,25,25,1,1,1,0,1,1
"280",286,"UKRN06","Full-time","No","Final Year","3","Experimental psychology","Yes","Male","UKRN",1,3,4,3,3,1,3,3,4,24,24,1,1,1,1,1,1
"281",287,"UKRN06","Full-time","No","Year 1","3","BSc Psychology","Yes","Female ","UKRN",1,3,3,3,3,1,3,2,2,20,20,1,0,0,0,0,1
"282",288,"UKRN06","Full-time","No","Year 2","3","BSc psychology ","Yes","Female ","UKRN",1,3,3,3,2,2,3,3,3,22,22,1,1,1,1,1,1
"283",289,"UKRN06","Full-time","No","Final Year","3","Psychological Science","Yes","Female","UKRN",1,4,3,4,4,3,3,3,2,26,26,1,1,1,0,0,1
"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285",291,"UKRN06","Full-time","No","Final Year","4","BSc psychology","No","Female","UKRN",1,4,4,4,4,1,4,4,4,29,29,1,1,1,1,0,1
"286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",293,"UKRN06","Full-time","No","Year 2","3","Psychology","Yes","Female","UKRN",1,3,4,4,4,1,4,4,4,28,28,1,1,0,1,1,1
"288",294,"UKRN06","Full-time","No","Year 2","4","Psychology with Innovation","Yes","Female","UKRN",1,4,4,4,4,1,4,4,3,28,28,1,1,1,1,1,1
"289",295,"UKRN06","Full-time","No","Year 1","3","Psychology","Yes","female","UKRN",1,3,3,4,2,1,3,3,3,22,22,1,0,0,0,1,1
"290",296,"UKRN06","Full-time","No","Final Year","3","Psychological Science","Yes","Male","UKRN",1,3,4,3,2,0,0,1,4,17,17,1,1,1,0,0,1
"291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",299,"UKRN06","Full-time","No","Year 1","3","Psychology BsC","Yes","Male","UKRN",1,3,3,3,3,1,3,3,3,22,22,1,1,1,0,0,1
"294",300,"UKRN06","Full-time","No","Final Year","3","Psychology","Yes","Female","UKRN",1,3,4,4,4,2,4,4,4,29,29,1,1,1,1,1,1
"295",301,"UKRN06","Full-time","No","Year 1","3","Psychology (BSc)","No","Female","UKRN",1,4,4,4,4,1,3,4,2,26,26,1,1,1,0,0,1
"296",302,"UNI04","Full-time","No","Final Year","4","BSc Psychology with a year abroad","Yes","Female","Non-UKRN",1,3,4,2,4,1,2,4,4,24,24,1,1,1,0,0,1
"297",303,"UNI04","Full-time","No","Final Year","3","PSYCHOLOGY","Yes","FEMALE","Non-UKRN",1,3,3,2,1,0,2,2,4,17,17,1,0,0,0,0,1
"298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299",305,"UNI04","Full-time","No","Final Year","3","Bsc Psychology","Yes","female ","Non-UKRN",1,3,3,2,2,0,1,4,1,16,16,1,1,1,0,0,1
"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",315,"UNI07","Full-time","No","Year 2","3","Psychology ","No","Female","Non-UKRN",1,3,3,2,1,1,1,1,3,15,15,1,1,0,0,0,1
"310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",317,"UKRN08","Full-time","No","Final Year","3","Bsc Psychology","Yes","Female","UKRN",1,0,0,2,0,0,0,1,3,6,6,1,1,1,0,0,1
"312",318,"UKRN08","Full-time","No","Final Year","3","BSc Psychology ","Yes","Female","UKRN",1,3,3,3,3,1,3,3,3,22,22,1,1,1,1,0,1
"313",319,"UKRN08","Full-time","Yes","Year 2","3","Psychology ","Yes","Female ","UKRN",1,4,3,3,3,3,2,4,3,25,25,1,1,1,1,1,1
"314",320,"UKRN08","Full-time","No","Final Year","3","Psychology ","Yes","Female","UKRN",1,4,4,4,0,4,4,3,4,27,27,1,1,1,1,1,1
"315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",323,"UKRN05","Full-time","Yes","Year 1","3","Psychology ","Yes","Female ","UKRN",1,4,3,1,1,0,2,3,1,15,15,1,0,0,0,0,1
"318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",327,"UKRN05","Full-time","No","Year 1","3","psychology","No","female","UKRN",1,3,3,2,0,1,2,3,3,17,17,1,1,1,0,0,1
"321",328,"UKRN05","Full-time","No","Year 1","3","Psychology Bsc","No","female","UKRN",1,3,1,3,1,1,1,1,3,14,14,1,0,1,0,0,1
