"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
772,"UNI52","Full-time","Other (Please specify)","Year 1","3","Bachelor Of Arts With Honours (Combined) - Accounting & Finance And Psychology","No","Female","Non-UKRN",1,0,1,1,0,1,1,0,1,5,1,1,0,0,0,1
773,"UNI52","Full-time","No","Year 2","3","Psychology","Yes","Female","Non-UKRN",1,0,0,1,0,0,1,1,1,4,1,0,0,1,0,1
774,"UNI69","Full-time","No","Final Year","4","Psychology ","No","Female","Non-UKRN",1,0,0,1,0,0,0,0,1,2,0,NA,NA,0,0,1
775,"UNI52","Full-time","No","Year 2","3","Psychology and Criminology","Yes","Non-Binary","Non-UKRN",1,1,0,0,0,1,1,1,0,4,1,0,0,0,0,1
776,"UNI52","Full-time","No","Final Year","3","Biology and Psychology","Yes","Female","Non-UKRN",1,0,0,1,0,0,1,0,1,3,1,0,0,0,0,1
777,"UKRN08","Full-time","No","Year 2","3","Psychology (BSc)","Yes","Female","UKRN",1,1,1,1,1,0,1,1,1,7,1,1,1,0,0,1
778,"UKRN08","Full-time","Yes","Year 2","3","Psychology","No","Female","UKRN",1,1,0,1,1,0,1,1,1,6,1,1,0,1,1,1
779,"UNI52","Full-time","No","Final Year","3","Psychology ","No","Male","Non-UKRN",1,0,0,1,0,0,0,0,1,2,1,1,0,0,0,1
780,"UKRN08","Full-time","No","Year 1","3","BSC (Hons) Psychology","Yes","Female ","UKRN",1,0,0,1,1,0,0,1,1,4,1,1,1,0,1,1
781,"UNI52","Full-time","No","Year 2","3","Psychology ","Yes","Female ","Non-UKRN",1,1,1,1,0,0,1,0,1,5,0,NA,NA,1,0,1
782,"UNI52","Full-time","No","Year 2","3","Bachelor Of Arts With Honours (Combined) - Criminology And Psychology","Yes","female","Non-UKRN",1,1,1,1,0,0,1,0,1,5,1,0,0,0,0,1
784,"UKRN08","Full-time","No","Year 2","3","Psychology with Sociology ","No","Female ","UKRN",1,1,0,1,1,0,0,1,1,5,1,1,1,0,1,1
785,"UNI52","Full-time","No","Year 2","3","Psychology ","Yes","Female ","Non-UKRN",1,1,1,1,0,1,1,1,0,6,0,NA,NA,0,0,1
786,"UNI52","Full-time","No","Year 1","3","Psychology ","Yes","Female ","Non-UKRN",1,0,1,1,0,0,1,0,1,4,1,1,1,0,0,1
787,"UNI52","Full-time","No","Year 1","3","Sports Psychology","Yes","Male","Non-UKRN",1,1,1,0,1,1,1,1,1,7,1,1,0,0,0,1
788,"UNI69","Full-time","No","Final Year","3","PSYCHOLOGY ","No","Female","Non-UKRN",1,1,0,1,0,0,1,1,1,5,0,NA,NA,0,0,1
789,"UNI52","Full-time","No","Year 1","3","Bachelor Of Arts With Honours (Combined) - Psychology And Special Educational Needs","No","Female","Non-UKRN",1,1,0,1,0,0,0,1,1,4,1,1,1,1,1,1
790,"UNI01","Full-time","No","Year 2","3","psychology","Yes","female ","Non-UKRN",1,0,0,1,1,0,0,0,1,3,1,1,0,0,0,1
791,"UKRN08","Full-time","No","Year 2","3","Psychology with Criminology ","Yes","Female","UKRN",1,0,1,1,0,1,0,0,0,3,1,1,0,0,0,1
792,"UNI20","Full-time","Yes","Placement Year","3","Bsc Psychology ","Yes","Female","Non-UKRN",1,1,1,1,0,0,0,0,0,3,0,NA,NA,0,0,1
793,"UNI20","Full-time","No","Year 2","3","Psychology","No","Female","Non-UKRN",1,1,1,0,1,1,0,0,1,5,1,0,NA,1,1,1
795,"UNI52","Full-time","No","Year 1","3","BSc Psychology ","No","Female","Non-UKRN",1,1,1,0,1,1,1,1,1,7,1,0,0,0,0,1
796,"UKRN08","Full-time","Yes","Year 1","4","Psychology Bsc with foundation year","No","Male","UKRN",1,1,1,1,1,0,0,0,0,4,1,1,NA,0,0,1
797,"UNI01","Full-time","No","Final Year","3","Psychology Bsc Single Hons","No","Female","Non-UKRN",1,1,1,0,1,1,0,1,0,5,1,1,1,1,1,1
798,"UNI52","Full-time","No","Final Year","3","Psychology","No","Female","Non-UKRN",1,1,1,0,1,1,0,1,0,5,1,0,0,1,1,1
799,"UKRN08","Full-time","Yes","Year 2","3","Psychology BSc (Hons)","Yes","Female","UKRN",1,1,0,0,1,1,1,1,0,5,1,1,0,1,1,1
800,"UKRN08","Full-time","Yes","Year 2","4","Psychology with Criminology","No","Female","UKRN",1,0,0,0,1,1,1,1,0,4,1,1,0,0,0,1
801,"UNI52","Full-time","No","Year 2","3","BSc Psychology","No","Female","Non-UKRN",1,1,1,0,0,1,0,1,0,4,1,1,0,0,0,1
802,"UNI68","Full-time","Yes","Placement Year","4","Psychology with a professional placement year ","Yes","Female ","Non-UKRN",1,1,1,0,1,1,0,1,1,6,1,1,0,0,0,1
