"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Perception_Score_Total","Perception_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Perception_Completed"
"44",46,"UKRN07","Full-time","Yes","Final Year","4","Psychology with Professional Placement","Yes","Female","UKRN",1,1,1,1,1,2,1,1,2,1,1,1,2,1,-1,1,-1,15,15,1,1,1,1,0,1
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",48,"UKRN07","Full-time","No","Final Year","3","BSc Psychology","Yes","Female","UKRN",1,2,2,0,1,1,0,2,1,0,-1,1,2,-1,1,-1,-1,9,9,1,1,1,0,0,1
"47",49,"UKRN07","Full-time","Yes","Final Year","4","Psychology with Professional Placement","Yes","Male","UKRN",1,2,2,2,1,2,2,2,1,2,2,2,2,-1,0,-1,-1,19,19,1,1,1,0,0,1
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",51,"UKRN07","Full-time","No","Final Year","3","Psychology with Neuroscience","Yes","Female","UKRN",1,1,1,1,-1,1,1,2,1,1,0,-1,2,1,-1,1,1,11,11,1,1,1,1,1,1
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",54,"UNI04","Full-time","Other (Please specify)","Final Year","4","Psychology (with a Year Abroad)","No","Female","Non-UKRN",1,2,1,0,1,2,2,2,1,1,-1,1,1,1,1,-1,-1,13,13,1,1,0,0,0,1
"52",55,"UNI04","Full-time","No","Final Year","3","BSc Psychology","Yes","Female","Non-UKRN",1,2,2,1,-2,1,1,1,-1,-2,-2,0,2,-1,2,-1,-1,2,2,1,1,1,0,0,1
"53",56,"UKRN07","Full-time","No","Final Year","3","BSc Psychology (Hons) ","Yes","Female ","UKRN",1,1,1,1,0,1,1,2,1,1,1,2,-1,1,-1,-1,-1,9,9,1,1,1,1,1,1
"54",57,"UNI04","Full-time","Yes","Year 2","4","BSc Psychology with Placement Year","No","Male","Non-UKRN",1,2,2,2,2,1,1,1,-1,1,-2,1,2,0,1,-2,-2,9,9,1,1,0,0,0,1
