"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Perception_Score_Total","Perception_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Perception_Completed"
"122",125,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Female","UKRN",1,2,2,2,0,2,1,1,1,2,-2,2,2,2,0,1,0,18,18,1,1,1,0,1,1
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",132,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female","UKRN",1,2,1,1,-1,1,1,0,1,2,-1,1,1,1,0,1,1,12,12,1,0,0,1,0,1
"130",133,"UKRN01","Full-time","No","Year 2","3","Psychology","Yes","female","UKRN",1,1,1,1,-1,1,1,1,-1,1,0,0,1,-1,-1,-1,-1,2,2,1,1,1,0,0,1
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",138,"UKRN01","Full-time","Yes","Year 2","4","Psychology Bsc","Yes","Female","UKRN",1,2,1,2,1,1,2,2,2,2,-1,1,2,1,1,-1,0,18,18,1,1,1,0,0,1
"135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",140,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,1,1,0,1,1,1,-1,-1,1,-1,-1,1,0,-1,-1,-1,0,0,1,1,0,0,0,1
"137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",144,"UKRN01","Full-time","Yes","Year 1","4","Psychology Bsc ","Yes","Male ","UKRN",1,2,2,2,2,1,2,2,1,2,1,-1,2,1,-1,-1,2,19,19,1,0,0,0,0,1
"141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",146,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,2,1,1,0,1,0,2,1,2,-2,0,1,0,1,-2,-2,6,6,1,0,0,0,0,1
"143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",148,"UKRN01","Full-time","Yes","Year 1","4","psychology bsc","Yes","female","UKRN",1,2,2,1,-1,0,1,1,1,2,-1,1,2,0,1,1,-2,11,11,1,1,0,1,0,1
"145",149,"UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology","No","Female ","UKRN",1,1,1,1,2,-1,1,-1,-1,2,1,2,2,2,2,-1,1,14,14,1,1,1,1,1,1
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",152,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","F","UKRN",1,2,2,1,1,1,1,2,1,2,1,1,0,1,0,-2,-1,13,13,1,0,1,1,0,1
"149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",154,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,-1,-1,6,6,1,1,1,0,1,1
"151",155,"UKRN01","Full-time","Yes","Year 1","3","Bsc Psychology","No","Male","UKRN",1,1,1,0,1,1,0,1,1,1,1,1,1,0,-1,1,1,11,11,1,1,1,0,0,1
"152",156,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female","UKRN",1,2,2,0,1,1,1,2,2,1,1,-1,2,0,-1,0,-1,12,12,1,0,0,0,0,1
"153",157,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,2,2,2,1,0,1,-1,-1,1,1,2,1,1,0,-2,-2,8,8,1,0,0,0,0,1
"154",158,"UKRN01","Full-time","No","Year 1","3","Psychology","No","Female ","UKRN",1,2,1,1,2,1,0,1,1,2,0,0,2,1,1,-1,-1,13,13,1,1,0,1,0,1
"155",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",160,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","female","UKRN",1,1,1,1,1,0,1,2,1,2,-1,1,2,1,1,0,-1,13,13,1,1,1,0,0,1
"157",161,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","female","UKRN",1,2,1,2,1,2,2,2,1,2,-1,2,1,0,0,-1,-2,14,14,1,0,1,0,0,1
"158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",163,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","Female","UKRN",1,2,1,0,1,1,1,2,1,2,0,2,2,-1,1,1,-1,15,15,1,0,1,0,0,1
"160",164,"UKRN01","Full-time","Yes","Year 2","4","Psychology (BSc)","Yes","Female","UKRN",1,2,2,1,0,1,1,1,0,0,-1,2,1,1,1,1,-1,12,12,1,1,1,0,0,1
"161",165,"UKRN01","Full-time","Yes","Year 1","4","Psychology Bsc","Yes","Female","UKRN",1,1,2,1,2,1,2,0,-1,0,-1,-2,2,-2,2,1,0,8,8,1,1,1,0,0,1
"162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",168,"UKRN01","Full-time","Yes","Year 1","3","Bsc Psychology","No","Female","UKRN",1,2,1,1,0,1,1,-1,1,1,-2,1,1,1,-1,0,0,7,7,1,0,1,0,0,1
"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",171,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Yes","Female","UKRN",1,2,1,1,1,1,0,1,1,1,1,2,1,0,-1,-1,-1,10,10,1,0,1,0,0,1
"168",172,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","female","UKRN",1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,-2,-2,22,22,1,1,1,0,0,1
"169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",174,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Male","UKRN",1,2,2,0,0,1,1,0,0,1,-1,1,2,0,1,-1,-1,8,8,1,1,1,0,0,1
"171",175,"UKRN01","Full-time","Yes","Year 1","3","Psychology BSc","Yes","Female","UKRN",1,2,1,0,1,0,-1,-1,-1,1,-2,-2,1,1,-1,-2,-1,-4,-4,1,1,1,1,1,1
"172",176,"UKRN01","Full-time","Yes","Placement Year","4","psychology Bsc","Yes","female","UKRN",1,2,2,1,2,1,2,2,0,1,0,1,2,1,1,-1,-1,16,16,1,1,1,1,1,1
"173",177,"UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Male","UKRN",1,2,2,1,0,1,-1,2,-1,2,0,1,1,1,-1,0,-1,9,9,1,1,1,1,1,1
"174",178,"UKRN01","Full-time","Yes","Year 2","3","BSc Psychology","Yes","Female","UKRN",1,2,2,2,0,1,0,1,1,2,0,2,2,0,1,-2,-1,13,13,1,1,0,1,1,1
"175",179,"UKRN01","Full-time","Yes","Year 2","3","Psychology","No","Female","UKRN",1,2,2,1,2,1,2,1,0,1,1,2,2,0,1,1,-1,18,18,1,1,1,1,0,1
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",181,"UKRN01","Full-time","No","Year 2","3","Psychology ","Yes","Female","UKRN",1,1,1,1,1,1,-1,1,0,1,0,1,-1,0,0,-1,-1,4,4,1,1,0,0,1,1
"178",182,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,-1,-1,5,5,1,0,1,0,0,1
"179",183,"UKRN01","Full-time","Yes","Year 1","4","BCs psychology ","No","female","UKRN",1,2,0,1,-2,0,-1,1,1,1,-1,1,2,1,-1,0,0,5,5,1,0,0,1,0,1
"180",184,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,2,2,2,1,1,1,2,2,0,1,2,2,2,2,0,-2,20,20,1,1,1,1,1,1
"181",185,"UKRN01","Full-time","Yes","Year 2","3","Psychology","Yes","female","UKRN",1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0,13,13,1,1,1,0,0,1
"182",186,"UKRN01","Full-time","Yes","Year 1","4","Psychology (BSc)","Yes","Male","UKRN",1,2,1,2,2,1,0,0,-1,1,-2,1,2,0,-1,-1,-1,6,6,1,1,0,0,0,1
"183",187,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","female","UKRN",1,1,1,1,1,0,1,1,-1,1,0,2,1,1,-1,0,-1,8,8,1,0,1,0,0,1
"184",188,"UKRN01","Full-time","No","Year 1","3","BSc Psychology","Yes","Female","UKRN",1,2,0,0,2,0,0,2,1,2,-2,2,1,1,0,2,0,13,13,1,0,0,0,0,1
"185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",192,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Female","UKRN",1,1,2,1,1,0,1,2,0,1,1,1,1,1,1,0,-1,13,13,1,1,1,0,0,1
"189",193,"UKRN01","Full-time","Yes","Placement Year","4","Psychology BSc","No","female","UKRN",1,2,1,-1,-1,1,1,2,-1,-1,-1,2,1,1,1,0,-1,6,6,1,1,1,0,0,1
"190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",195,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,2,1,1,1,1,1,2,2,1,1,0,2,1,1,-1,-1,15,15,1,0,0,0,0,1
"192",196,"UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology","Yes","Female","UKRN",1,2,2,1,2,2,2,2,1,1,-2,1,2,1,1,-1,-1,16,16,1,1,1,0,0,1
"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",199,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","female","UKRN",1,0,1,1,2,-1,0,1,1,2,2,1,2,1,-1,1,0,13,13,1,1,1,0,0,1
"196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",201,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Male","UKRN",1,2,1,2,-2,2,1,1,0,1,-2,2,-2,2,-1,-1,-1,5,5,1,1,1,1,1,1
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",203,"UKRN01","Full-time","No","Year 1","3","Psychology Bsc","Yes","Female","UKRN",1,2,1,2,1,1,0,2,0,1,1,1,2,-2,2,-1,-2,11,11,1,1,0,0,0,1
"200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",205,"UKRN01","Full-time","Yes","Year 1","4","Psychology Bsc","Yes","Female ","UKRN",1,2,2,2,-1,0,1,-1,1,0,1,1,2,-1,1,-1,-1,8,8,1,0,0,1,0,1
"202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",208,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,1,1,1,0,1,1,2,1,-2,1,1,2,-1,2,-1,-1,9,9,1,1,1,0,0,1
"205",209,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Male","UKRN",1,2,0,1,-2,-1,0,2,2,1,-1,2,-1,0,-2,1,0,4,4,1,1,1,0,0,1
"206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",211,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,2,2,2,1,2,1,2,1,1,-1,1,2,1,1,-1,2,19,19,1,1,1,0,1,1
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",218,"UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Female","UKRN",1,2,2,1,1,1,1,1,-1,1,1,2,2,1,1,0,-2,14,14,1,1,1,0,1,1
"215",219,"UKRN01","Full-time","Yes","Year 2","4","Psychology ","Yes","Female","UKRN",1,1,1,1,-1,-1,0,-1,1,1,-1,1,2,0,2,-1,-1,4,4,1,1,0,0,0,1
"216",220,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology ","Yes","Female","UKRN",1,1,1,1,1,1,1,1,1,2,0,0,1,0,1,0,-1,11,11,1,0,0,0,0,1
"217",221,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","female","UKRN",1,2,2,1,0,0,0,1,0,1,0,1,2,1,-1,0,0,10,10,1,1,1,0,0,1
"218",222,"UKRN01","Full-time","Yes","Placement Year","3","Psychology","Yes","Female","UKRN",1,1,2,2,1,0,0,1,0,1,-2,2,2,2,2,1,-1,14,14,1,1,1,0,0,1
"219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",230,"UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology","Yes","Female","UKRN",1,1,1,1,0,1,0,1,0,-1,0,1,2,1,2,0,-1,9,9,1,1,1,0,0,1
"227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",233,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","female","UKRN",1,2,1,1,1,0,1,1,1,1,-1,1,1,0,1,1,-1,11,11,1,1,1,0,0,1
"230",234,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,1,0,-1,1,-1,-1,-1,1,-1,2,1,0,-1,1,1,3,3,1,1,0,0,0,1
"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",236,"UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Female","UKRN",1,2,2,2,0,1,0,2,2,2,0,1,1,0,1,-1,-1,14,14,1,0,0,1,0,1
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",238,"UKRN01","Full-time","Yes","Year 2","4","Psychology ","No","Female","UKRN",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-1,25,25,1,1,1,1,1,1
"235",239,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Male","UKRN",1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,-1,-1,24,24,1,1,1,1,1,1
"236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",242,"UKRN01","Full-time","Yes","Year 2","3","psychology Bsc","No","female","UKRN",1,1,0,1,1,0,1,1,0,1,-2,2,-1,0,-1,1,1,6,6,1,0,0,0,0,1
"239",243,"UKRN01","Full-time","No","Year 1","3","Psychology BSc","No","Female","UKRN",1,2,2,2,0,2,0,2,-1,2,-2,2,2,-1,-2,-1,-2,7,7,1,0,1,0,0,1
"240",244,"UKRN01","Full-time","Yes","Placement Year","4","Psychology BSc","Yes","Female","UKRN",1,2,1,1,1,1,0,1,-1,-1,1,1,2,1,2,-1,0,11,11,1,0,1,0,0,1
"241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",247,"UKRN01","Full-time","Yes","Placement Year","4","Bsc Psychology","No","Male","UKRN",1,2,2,1,2,1,1,2,1,1,2,2,2,1,2,0,1,23,23,1,1,0,1,1,1
"244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",249,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Male","UKRN",1,0,1,1,2,0,0,2,0,1,-2,-1,2,1,1,-1,0,7,7,1,0,1,0,0,1
"246",250,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,1,2,1,2,1,1,1,1,1,-1,1,2,0,2,0,0,15,15,1,0,0,1,0,1
"247",251,"UKRN01","Full-time","Yes","Final Year","4","Psychology BSc","Yes","Female","UKRN",1,2,1,1,1,0,1,2,1,1,0,0,2,0,-1,0,0,11,11,1,1,1,0,0,1
"248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
