"","ID","Progress","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","comments"
"190",193,"100","UKRN01","Full-time","Yes","Placement Year","4","Psychology BSc","No","female","UKRN",1,6,6,18,18,4,1,1,1,1,0,0,1,"This was good to make sure I am up to data with research method knowledge and see where I lack"
"191",194,"100","UKRN01","Full-time","Yes","Year 1","4","Bsc Psychology","Yes","Female","UKRN",1,14,14,20,20,3,2,0,NA,9999,0,0,1,""
"192",195,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,15,15,22,22,3,1,1,0,0,0,0,1,""
"193",196,"100","UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology","Yes","Female","UKRN",1,16,16,19,19,6,0,1,1,1,0,0,1,""
"194",197,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology Bcs","Yes","female","UKRN",1,7,7,14,14,6,3,0,NA,9999,0,0,1,""
"195",198,"100","UKRN01","Full-time","Yes","Year 1","4","BSc psychology","Yes","Female","UKRN",1,13,13,21,21,5,3,0,NA,9999,0,0,1,""
"196",199,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","female","UKRN",1,13,13,16,16,5,3,1,1,1,0,0,1,""
"197",200,"100","UKRN01","Full-time","Yes","Year 2","4","psychology","Yes","female","UKRN",1,14,14,21,21,3,1,0,NA,9999,0,0,1,""
"198",201,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Male","UKRN",1,5,5,28,28,4,6,1,1,1,1,1,1,""
"199",202,"100","UKRN01","Full-time","Yes","Year 1","4","BSc psychology","Yes","female","UKRN",1,14,14,22,22,3,2,0,NA,9999,1,0,1,""
"200",203,"100","UKRN01","Full-time","No","Year 1","3","Psychology Bsc","Yes","Female","UKRN",1,11,11,15,15,5,2,1,1,0,0,0,1,""
"201",204,"100","UKRN01","Full-time","No","Year 1","3","Psychology ","No","female","UKRN",1,4,4,12,12,5,3,0,NA,9999,0,0,1,""
"202",205,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology Bsc","Yes","Female ","UKRN",1,8,8,15,15,6,2,1,0,0,1,0,1,""
"203",206,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology with placement","Yes","Female","UKRN",1,12,12,22,22,1,0,0,NA,9999,0,0,1,""
"204",207,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,8,8,19,19,8,4,0,NA,9999,0,0,1,""
"205",208,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,9,9,15,15,4,3,1,1,1,0,0,1,""
"206",209,"100","UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Male","UKRN",1,4,4,20,20,7,1,1,1,1,0,0,1,""
"207",210,"100","UKRN01","Full-time","No","Year 1","3","Psychology ","Yes","Female","UKRN",1,3,3,16,16,4,3,0,NA,9999,0,0,1,""
"208",211,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,19,19,20,20,4,4,1,1,1,0,1,1,""
"209",212,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","female","UKRN",1,7,7,14,14,7,1,0,NA,9999,0,0,0,""
"210",213,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology BSc (Hons)","Yes","Female","UKRN",1,9,9,19,19,2,0,0,NA,9999,0,0,0,""
"211",214,"100","UKRN01","Full-time","No","Year 2","3","psychology ","Yes","female ","UKRN",1,9,9,18,18,1,4,0,NA,9999,1,1,1,""
"212",215,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology ","Yes","Male ","UKRN",1,1,1,17,17,5,3,0,NA,9999,0,0,0,""
"213",216,"100","UKRN01","Full-time","No","Year 1","3","psychology","No","female","UKRN",1,16,16,21,21,2,0,0,NA,9999,0,0,1,""
"214",217,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","Female","UKRN",1,8,8,17,17,4,1,0,NA,9999,0,0,0,""
"215",218,"100","UKRN01","Full-time","Yes","Year 2","4","BSc Psychology","Yes","Female","UKRN",1,14,14,20,20,5,5,1,1,1,0,1,1,""
"216",219,"100","UKRN01","Full-time","Yes","Year 2","4","Psychology ","Yes","Female","UKRN",1,4,4,19,19,3,1,1,1,0,0,0,0,""
"217",220,"100","UKRN01","Full-time","Yes","Year 1","4","BSc Psychology ","Yes","Female","UKRN",1,11,11,19,19,6,3,1,0,0,0,0,1,"Pretty Cool"
"218",221,"100","UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","female","UKRN",1,10,10,21,21,0,8,1,1,1,0,0,1,"no"
"219",222,"100","UKRN01","Full-time","Yes","Placement Year","3","Psychology","Yes","Female","UKRN",1,14,14,18,18,3,2,1,1,1,0,0,0,""
