"ID","Progress","Duration_Seconds","Finished","Uni","Full_Part","PTY","PTY_Other","Course_Duration","Current_Year","Course_Duration_Other","Current_Year_Other","Course_Name","Previous_Training","Gender","Perception_1","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","crisis_aware","crisis_learnt","understanding_crisis","os_explain","os_learnt","applicability","comments","include","UKRN","timepoint","crisis_explain","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","Perception_Completed","Awareness_Completed","Experience_Completed","Knowledge_Completed","crisis_aware_Completed","crisis_learnt_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed","crisis_explain_Completed"
24,"100",361,"TRUE","UNI02","Full-time","No","","3","Year 2","","","BSc Psychology Hons","No","N/A",1,2,1,1,1,1,2,1,1,2,1,2,1,1,0,-1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,2,2,2,0,-1,-1,2,1,1,1,"A crisis whereby many important aspects of research have been found to not be able to be replicated, indicated an unreliable method and results",0,0,1,"",1,"Non-UKRN",1,1,17,1.0625,7,0.875,6,2,1,1,1,1,1,1,1,1,1,1
25,"100",312,"TRUE","UNI02","Full-time","No","","3","Year 2","","","Single honours Psychology ","Yes","Female",2,1,1,1,1,1,1,1,-1,1,1,2,1,0,0,-2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,1,1,1,-1,1,1,1,1,1,"Where classic studied have been replicated but the results found are not the same. ",0,0,1,"",1,"Non-UKRN",1,1,11,0.6875,4,0.5,2,1,1,1,1,1,1,1,1,1,1,1
27,"100",370,"TRUE","UNI02","Full-time","No","","3","Final Year","","","Psychology ","No","Female ",1,1,0,1,1,1,2,1,0,0,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,-1,-1,0,0,1,1,0,"A study being difficult to replicate ",0,0,1,"",1,"Non-UKRN",1,0,6,0.375,1,0.125,8,0,1,1,1,1,1,1,1,1,1,1
28,"100",442,"TRUE","UNI02","Full-time","No","","3","Year 2","","","Psychology","Yes","Female ",0,2,0,1,1,1,2,-1,-2,-1,1,2,0,1,-2,-2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,1,1,-2,-1,1,1,0,1,1,"studies find positive results but they aren’t replicable meaning they are less reliable, can raise a question as to wether anything found is due to chance ",0,1,1,"",1,"Non-UKRN",1,1,3,0.1875,3,0.375,8,0,1,1,1,1,1,1,1,1,1,1
29,"100",440,"TRUE","UNI02","Full-time","No","","3","Final Year","","","Psychology ","Yes","Female ",2,2,2,2,2,2,2,2,2,2,0,2,0,1,-2,-2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,2,-2,1,0,2,1,1,"Replication of original studies are not producing the same results",0,0,1,"",1,"Non-UKRN",1,1,19,1.1875,9,1.125,4,0,1,1,1,1,1,1,1,1,1,1
30,"100",784,"TRUE","UNI02","Full-time","No","","3","Final Year","","","Psychology ","Yes","Female ",1,-1,0,1,1,1,-1,-1,1,-1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,-1,1,-1,1,1,1,1,1,0,"There is limited replicability of various studies and so renders the results less reliable and therefore less research being conducted is producing entirely reliable information to the rest of the world. ",1,0,1,"",1,"Non-UKRN",1,0,5,0.3125,4,0.5,5,2,1,1,1,1,1,1,1,1,1,1
31,"100",389,"TRUE","UNI02","Full-time","No","","3","Year 1","","","Psychology with counselling ","Yes","Female",1,-2,1,1,1,-1,1,1,1,0,1,0,1,-1,1,-1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,-1,1,1,-1,-2,0,1,1,1,0,"The issues that replications of studies can bring about if done incorrectly",0,1,1,"",1,"Non-UKRN",1,0,5,0.3125,0,0,6,1,1,1,1,1,1,1,1,1,1,1
32,"100",552,"TRUE","UNI02","Full-time","No","","3","Final Year","","","Bsc(hons) psychology ","Yes","Female ",1,2,0,1,0,0,0,-1,-1,-2,1,2,0,0,-1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,1,1,-1,1,0,1,1,1,"When there is an issue in studies which are replicated finding the same results ",0,0,1,"",1,"Non-UKRN",1,0,3,0.1875,7,0.875,8,0,1,1,1,1,1,1,1,1,1,1
33,"100",480,"TRUE","UNI01","Full-time","No","","3","Year 2","","","BSc (Hons) Psychology with Criminology","Yes","Female",1,1,0,1,1,0,2,1,1,-1,1,1,1,1,-1,-1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,-1,-1,1,0,0,1,0,"Individual's altering their results to make them seem replicable/reproducible ",0,0,1,"",1,"Non-UKRN",1,0,9,0.5625,2,0.25,4,0,1,1,1,1,1,1,1,1,1,1
34,"100",624,"TRUE","UNI02","Full-time","No","","3","Year 2","","","Psychology with clinical skills","No","Female",2,2,1,2,1,1,2,1,2,1,1,2,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,2,2,0,1,2,2,1,1,"Researchers have tried to copy the methodology of previous studies and theories and due to several reasons, the new studies are not getting the same results, we are unable to provide further support and evidence to support the original hypothesis.  Sometimes this is due to the full methodolgy not being available or data not being correctly analysed.  Researchers may have chosen to massage the data or only publish research with the outcome they wanted",1,1,1,"",1,"Non-UKRN",1,1,21,1.3125,11,1.375,3,1,1,1,1,1,1,1,1,1,1,1
