"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","crisis_aware_Completed","crisis_learnt_Completed","crisis_explain_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed"
47,"UKRN02","Full-time","Yes","Placement Year","3","psychology","Yes","Female","UKRN",1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
48,"UKRN07","Full-time","No","Final Year","3","BSc Psychology","Yes","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
49,"UKRN07","Full-time","Yes","Final Year","4","Psychology with Professional Placement","Yes","Male","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
50,"UNI01","Full-time","No","Year 2","3","Psychology with Criminology","No","Female","Non-UKRN",1,0,NA,NA,1,1,1,1,0,0,1,1,1
51,"UKRN07","Full-time","No","Final Year","3","Psychology with Neuroscience","Yes","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
52,"UNI02","Full-time","No","Year 1","3","Psychology with clinical skills","Yes","female","Non-UKRN",1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
53,"UNI04","Full-time","No","Year 2","3","BSc Psychology","Yes","Female","Non-UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
54,"UNI04","Full-time","Other (Please specify)","Final Year","4","Psychology (with a Year Abroad)","No","Female","Non-UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
55,"UNI04","Full-time","No","Final Year","3","BSc Psychology","Yes","Female","Non-UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
56,"UKRN07","Full-time","No","Final Year","3","BSc Psychology (Hons) ","Yes","Female ","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
57,"UNI04","Full-time","Yes","Year 2","4","BSc Psychology with Placement Year","No","Male","Non-UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
58,"UKRN02","Full-time","Yes","Year 1","4","Psychology with counselling","Yes","Female","UKRN",1,1,0,1,0,1,0,1,1,1,1,1,1
59,"UNI04","Full-time","Yes","Year 2","4","Cognitive psychology with placement year","Yes","Female","Non-UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
60,"UNI11","Full-time","No","Final Year","3","Psychology and child development ","Yes","Female","Non-UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
61,"UNI11","Full-time","No","Final Year","3","Bsc Psychology ","Yes","Female","Non-UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
62,"UNI11","Full-time","No","Final Year","3","Psychology and child development ","No","Female","Non-UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
63,"UNI11","Full-time","No","Year 2","3","Bsc Psychology ","Yes","Female","Non-UKRN",1,0,NA,NA,1,0,0,1,0,0,1,1,1
64,"UNI11","Full-time","No","Year 1","3","Bsc Psychology","Yes","Female","Non-UKRN",1,1,0,1,0,0,0,1,1,1,1,1,1
65,"UNI11","Full-time","No","Year 1","3","Psychology with child development ","Yes","Female","Non-UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
